,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
47695,코리아세븐홍은힐튼점,,소매,종합소매점,편의점,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 204-8,126.935118345528,37.590004831939105
47701,우리마트,,소매,종합소매점,편의점,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 용산동2가 27-4,126.987509136157,37.543269299492295
47814,세븐일레븐신내신아점,신내신아점,소매,종합소매점,편의점,서울특별시,중랑구,신내2동,신내동,서울특별시 중랑구 신내동 666,127.094689100842,37.6064471491972
48151,비지에프리테일봉천,두산점,소매,종합소매점,편의점,서울특별시,관악구,은천동,봉천동,서울특별시 관악구 봉천동 1708,126.94268888158899,37.4837497922457
48345,위드미,창동점,소매,종합소매점,편의점,서울특별시,도봉구,창3동,창동,서울특별시 도봉구 창동 443-4,127.041175831687,37.6416695432848
48500,코리아세븐정릉아리랑점,아리랑점,소매,종합소매점,편의점,서울특별시,성북구,정릉2동,정릉동,서울특별시 성북구 정릉동 484,127.01153035487499,37.6025812387727
48556,위드미,은평선일점,소매,종합소매점,편의점,서울특별시,은평구,갈현2동,갈현동,서울특별시 은평구 갈현동 258-9,126.91280550732,37.620787860461895
48663,코리아세븐롯데캐논점,,소매,종합소매점,편의점,서울특별시,강남구,삼성1동,삼성동,서울특별시 강남구 삼성동 168-12,127.063986640938,37.5095070834523
48795,주성편의점,,소매,종합소매점,편의점,서울특별시,강남구,청담동,청담동,서울특별시 강남구 청담동 132-9,127.056658986567,37.5219374054909
48812,위드미,장안홈타운점,소매,종합소매점,편의점,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 장안동 355-1,127.07381696267599,37.567972757235104
49067,코리아세븐강동,상일여고점,소매,종합소매점,편의점,서울특별시,강동구,상일동,상일동,서울특별시 강동구 상일동 249,127.172408271595,37.550026185094296
49298,위드미,송파잠실점,소매,종합소매점,편의점,서울특별시,송파구,잠실본동,잠실동,서울특별시 송파구 잠실동 176-2,127.07930833223301,37.5108168983798
49363,세븐일레븐,용산서계점,소매,종합소매점,편의점,서울특별시,용산구,청파동,서계동,서울특별시 용산구 서계동 239-15,126.965725939354,37.5522621403534
49414,미니스톱종암아이파크점,종암아이파크점,소매,종합소매점,편의점,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암동 62-8,127.03183849407,37.59803714455779
49493,세븐일레븐참누리월드컵단지점,참누리월드컵단지점,소매,종합소매점,편의점,서울특별시,마포구,성산2동,중동,서울특별시 마포구 중동 398-1,126.905118249879,37.5718087888526
49883,대산아이씨유,,소매,종합소매점,편의점,서울특별시,중구,소공동,서소문동,서울특별시 중구 서소문동 47-2,126.97361979093999,37.5634048360889
50348,CU,잠원한아름점,소매,종합소매점,편의점,서울특별시,서초구,잠원동,잠원동,서울특별시 서초구 잠원동 30-6,127.018100030601,37.5127928236865
50615,미니스톱,번동주공점,소매,종합소매점,편의점,서울특별시,강북구,번3동,번동,서울특별시 강북구 번동 242-1,127.045835505464,37.625515701777296
50619,로그인편의점,,소매,종합소매점,편의점,서울특별시,종로구,가회동,계동,서울특별시 종로구 계동 115-1,126.986623162561,37.5794475792626
50762,코리아세븐수도마이스터고점,,소매,종합소매점,편의점,서울특별시,강남구,개포2동,개포동,서울특별시 강남구 개포동 155,127.06446296112301,37.48492999948729
50847,미니스톱,금천힐스테이트점,소매,종합소매점,편의점,서울특별시,금천구,시흥1동,시흥동,서울특별시 금천구 시흥동 986,126.902454296083,37.4484671568404
50901,CU,화곡로점,소매,종합소매점,편의점,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 화곡동 1070-12,126.835448861597,37.540092489303795
50962,코리아세븐신정아크로빌점,아크로빌점,소매,종합소매점,편의점,서울특별시,양천구,신정7동,신정동,서울특별시 양천구 신정동 324-8,126.860093724964,37.5155724477888
51137,미니스톱,테헤란로점,소매,종합소매점,편의점,서울특별시,강남구,대치4동,대치동,서울특별시 강남구 대치동 890-49,127.051540139422,37.504488034784295
51157,CU,둔촌점,소매,종합소매점,편의점,서울특별시,강동구,둔촌2동,둔촌동,서울특별시 강동구 둔촌동 55-7,127.143364528442,37.5335369628067
51200,세븐일레븐종각점,종각점,소매,종합소매점,편의점,서울특별시,종로구,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 42-3,126.98452184770099,37.569112604367795
51562,CU,세종대학생회관점,소매,종합소매점,편의점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자동 98,127.07427724400499,37.5527306178074
51563,CU,방배지인점,소매,종합소매점,편의점,서울특별시,서초구,방배본동,방배동,서울특별시 서초구 방배동 769-2,126.986370114715,37.4953147061074
