,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
18367,우성마트,,소매,종합소매점,수퍼마켓,서울특별시,동작구,신대방1동,신대방동,서울특별시 동작구 신대방동 565,126.91179346089599,37.491083117040404
18543,은성슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,문래동,문래동4가,서울특별시 영등포구 문래동4가 30-3,126.888905835408,37.515504614592295
18720,만수직판장,,소매,종합소매점,수퍼마켓,서울특별시,중랑구,면목3.8동,면목동,서울특별시 중랑구 면목동 5-6,127.09922279921899,37.5883167716733
18798,한사랑마트,,소매,종합소매점,수퍼마켓,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 등촌동 632-4,126.86391653655701,37.5551377867426
18805,신라슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정3동,신정동,서울특별시 양천구 신정동 1158-27,126.850476818809,37.5164343407991
19340,대천마트,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 여의도동 53-12,126.93354635230699,37.5183940034199
19349,하모니마트응봉점,응봉점,소매,종합소매점,수퍼마켓,서울특별시,성동구,응봉동,응봉동,서울특별시 성동구 응봉동 100,127.034040177261,37.553849966823705
19362,삼운웰빙마트,,소매,종합소매점,수퍼마켓,서울특별시,강동구,암사1동,암사동,서울특별시 강동구 암사동 473,127.133823002707,37.552398540045296
19367,홈플러스익스프레스,서울구의2점,소매,종합소매점,수퍼마켓,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의동 212-3,127.09408463640301,37.540440718514105
19524,을지마트,,소매,종합소매점,수퍼마켓,서울특별시,중구,을지로동,저동2가,서울특별시 중구 저동2가 78,126.98957642461201,37.5653265459148
19566,장성슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,강북구,번1동,번동,서울특별시 강북구 번동 410-69,127.03123221220301,37.636046948150295
19611,신미니슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,광진구,화양동,화양동,서울특별시 광진구 화양동 45-15,127.066752537906,37.543534731484
19713,동남슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,상계6.7동,상계동,서울특별시 노원구 상계동 740,127.05904772049699,37.650427335415
20249,홈플러스익스프레스도곡2점,도곡2점,소매,종합소매점,수퍼마켓,서울특별시,강남구,도곡2동,도곡동,서울특별시 강남구 도곡동 518-8,127.043346500891,37.482715499608105
20630,365할인마트,,소매,종합소매점,수퍼마켓,서울특별시,중랑구,신내1동,신내동,서울특별시 중랑구 신내동 397,127.09639941210399,37.6101815655706
20786,길훈미니슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,양천구,신월7동,신월동,서울특별시 양천구 신월동 341-1,126.831341448937,37.5234097901794
21358,홈플러스익스프레스대치점,대치점,소매,종합소매점,수퍼마켓,서울특별시,강남구,대치1동,대치동,서울특별시 강남구 대치동 1021-3,127.059752648791,37.498075091042104
22166,럭키슈퍼나들가게,나들가게,소매,종합소매점,수퍼마켓,서울특별시,용산구,후암동,후암동,서울특별시 용산구 후암동 446,126.976720198752,37.5543762728788
